Chi,Gel,Gly,Pec,Sta,Oil,T(°C),%RH,t(h),TS,WVP,%E
0.499,0.0,0.3,0.0,0.0,0.0,40,54,24,210.0,38.5,2.46
0.79,1.185,0.987,0.0,0.0,0.5,24,33,72,13.86,0.75,12.75
1.984,0.0,0.992,0.0,0.0,0.0,50,50,2,9.25,13.61,20.77
2.0,0.0,0.0,0.0,0.0,0.55,26,0,72,14.41,0.54,5.46
0.998,0.0,0.3,0.0,0.0,0.0,2,54,336,351.0,62.5,42.4
1.0,0.0,0.2,0.0,0.0,2.495,21,57,24,44.4,44.4,30.2
1.0,0.0,0.2,0.0,0.0,0.0,21,57,24,627.5,9.65,4.2
1.0,0.0,0.2,0.0,0.0,1.519,21,57,24,71.2,28.82,13.2
0.998,0.0,0.3,0.0,0.0,0.0,25,54,168,372.0,92.2,15.5
1.0,0.0,0.2,0.0,0.0,1.247,21,57,24,94.8,25.4,15.9
0.0,2.0,0.829,0.0,0.0,0.0,25,53,36,22.6,9.08,36.5
0.992,0.0,0.0,0.0,0.0,1.0,25,60,48,63.0,86.0,5.5
0.92,0.0,0.387,0.0,1.38,0.0,60,50,18,33.36,101.2,50.3
1.0,0.0,0.2,0.0,0.0,2.927,21,57,24,36.3,63.19,42.8
1.496,0.0,0.3,0.0,0.0,0.0,40,54,24,656.0,0.27,2.77
0.0,3.886,0.777,0.0,0.0,2.231,30,53,24,35.0,11.0,51.0
0.92,0.46,0.387,0.0,1.38,0.0,60,50,18,40.41,94.7,35.1
0.24,0.06,1.4,0.3,0.0,0.0,25,58,12,24.31,7.68,15.91
0.919,0.459,0.579,0.0,0.919,0.0,60,50,18,18.9,60.8,75.4
0.792,1.188,0.99,0.0,0.0,0.25,24,33,72,14.06,0.27,12.33
1.0,1.0,0.0,0.0,0.0,0.5,22,50,48,62.2,96.0,4.7
0.0,1.972,1.775,0.0,0.0,0.0,25,45,14,8.91,0.02,27.23
1.333,1.333,0.0,0.0,0.0,0.0,22,50,48,57.6,72.0,6.5
2.0,0.0,0.0,0.0,0.0,0.0,26,0,72,19.36,0.3,3.76
1.0,0.0,0.75,0.0,0.0,0.0,40,75,140,15.8,29.53,39.9
0.1,0.5,1.4,0.0,0.0,0.0,25,58,12,3.44,7.68,72.26
1.4,0.0,0.0,0.0,0.0,0.0,60,62,24,67.11,78.88,21.35
0.998,0.0,0.0,0.0,0.0,0.5,25,60,48,65.0,130.2,7.0
0.922,0.461,0.194,0.0,0.922,0.0,60,50,18,30.76,87.5,21.5
1.0,0.0,1.25,0.0,0.0,0.0,40,75,140,8.7,27.24,48.7
1.0,0.0,0.2,0.0,0.0,4.557,21,57,24,32.4,76.63,41.1
0.922,0.0,0.194,0.0,0.922,0.0,60,50,18,39.23,70.3,8.9
0.998,0.0,0.2,0.0,0.0,0.0,30,53,24,55.0,17.0,5.7
1.0,0.0,0.0,0.0,0.0,0.0,40,75,140,64.3,105.49,13.7
0.786,1.179,0.982,0.0,0.0,1.0,24,33,72,13.7,0.86,12.7
0.919,0.23,0.579,0.0,1.378,0.0,60,50,18,26.4,96.1,80.5
1.0,0.0,0.0,0.0,0.0,0.0,22,50,46,55.83,9.21,4.58
0.132,0.402,1.302,0.162,0.0,0.0,25,58,12,5.33,7.68,27.28
0.919,0.23,0.579,0.0,0.459,0.0,60,50,18,16.71,65.8,100.2
0.0,3.975,0.795,0.0,0.0,0.0,30,53,24,31.0,8.0,6.4
2.0,0.0,0.0,0.0,0.0,0.0,22,50,48,143.2,31.0,5.5
1.003,0.0,0.0,0.0,0.0,0.0,25,60,48,113.0,124.0,22.0
0.92,0.46,0.387,0.0,0.46,0.0,60,50,18,13.63,90.6,70.6
0.498,1.992,0.498,0.0,0.0,0.0,30,53,24,45.0,13.0,9.3
2.0,0.0,0.0,0.0,0.0,2.18,26,0,72,9.45,0.63,4.86
0.92,0.23,0.387,0.0,0.92,0.0,60,50,18,32.85,81.7,100.1
1.0,0.0,0.25,0.0,0.0,0.0,40,75,140,44.9,89.68,16.9
0.0,0.5,1.2,0.3,0.0,0.0,25,58,12,6.42,7.68,145.68
